booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking,hotel_city,No_of_days,Room_rate
1,189314,Cancelled,2/4/2017,2/5/2017,1,252,3160,669,1/31/2017,Bangalore,1,3160
2,46268,Cancelled,1/27/2017,1/28/2017,1,252,1893,481,1/27/2017,Bangalore,1,1893
3,55271,Stayed,1/25/2017,1/26/2017,1,252,2188,463,1/25/2017,Bangalore,1,2188
4,170766,Cancelled,1/26/2017,1/27/2017,1,252,3054,646,1/26/2017,Bangalore,1,3054
5,182276,Cancelled,1/26/2017,1/28/2017,1,252,6107,1293,1/25/2017,Bangalore,2,6107
6,74628,Cancelled,1/26/2017,1/29/2017,1,252,9614,2441,1/23/2017,Bangalore,3,9614
7,122584,Stayed,1/24/2017,1/25/2017,1,252,1980,436,1/24/2017,Bangalore,1,1980
8,170174,Cancelled,2/9/2017,2/10/2017,1,252,3054,646,1/10/2017,Bangalore,1,3054
9,77745,Stayed,2/6/2017,2/8/2017,1,571,10397,2200,1/25/2017,Bangalore,2,10397
10,55369,Cancelled,2/14/2017,2/16/2017,1,571,8967,1898,1/28/2017,Bangalore,2,8967
11,42531,Stayed,1/3/2017,1/4/2017,1,571,4679,1188,1/3/2017,Bangalore,1,4679
12,60231,Cancelled,1/3/2017,1/4/2017,1,571,4679,1188,1/3/2017,Bangalore,1,4679
13,66762,Cancelled,1/3/2017,1/4/2017,1,571,4679,1188,1/3/2017,Bangalore,1,4679
14,161206,Cancelled,2/13/2017,2/15/2017,1,109,7927,1678,1/6/2017,Bangalore,2,7927
15,3452,Stayed,1/9/2017,1/10/2017,1,109,1949,1100,1/9/2017,Bangalore,1,1949
16,193036,Stayed,1/8/2017,1/9/2017,1,109,1949,1100,1/8/2017,Bangalore,1,1949
17,42387,Stayed,1/7/2017,1/8/2017,1,109,3509,743,1/1/2017,Bangalore,1,3509
18,151804,Stayed,1/3/2017,1/4/2017,1,109,2859,605,1/2/2017,Bangalore,1,2859
19,62642,Stayed,2/10/2017,2/12/2017,1,88,5977,1265,1/31/2017,Bangalore,2,5977
20,127850,Cancelled,2/10/2017,2/13/2017,1,88,9075,1920,1/15/2017,Bangalore,3,9075
21,68800,Cancelled,2/8/2017,2/12/2017,1,88,12100,2560,1/14/2017,Bangalore,4,12100
22,148431,Stayed,1/24/2017,1/25/2017,1,88,2474,524,1/23/2017,Bangalore,1,2474
23,120371,Stayed,1/22/2017,1/24/2017,1,88,4802,1016,1/16/2017,Bangalore,2,4802
24,98294,Cancelled,1/21/2017,1/22/2017,1,88,3236,684,1/21/2017,Bangalore,1,3236
25,172653,Stayed,1/19/2017,1/21/2017,1,88,5002,1058,1/19/2017,Bangalore,2,5002
26,49442,Cancelled,1/14/2017,1/15/2017,1,88,1905,403,1/14/2017,Bangalore,1,1905
27,112916,Stayed,1/11/2017,1/13/2017,1,88,6092,1289,1/9/2017,Bangalore,2,6092
28,78646,Stayed,1/9/2017,1/11/2017,1,88,4077,1035,1/3/2017,Bangalore,2,4077
29,46608,Cancelled,1/4/2017,1/6/2017,1,88,6510,1652,1/3/2017,Bangalore,2,6510
30,169327,Stayed,1/7/2017,1/8/2017,1,755,4224,1073,1/7/2017,Bangalore,1,4224
31,88392,Stayed,1/2/2017,1/3/2017,1,755,3184,809,1/2/2017,Bangalore,1,3184
32,119048,Stayed,1/31/2017,2/1/2017,1,859,1949,413,1/31/2017,Bangalore,1,1949
33,145504,Cancelled,1/15/2017,1/16/2017,1,859,1689,358,1/15/2017,Bangalore,1,1689
34,154473,Stayed,1/5/2017,1/6/2017,1,859,2144,545,1/5/2017,Bangalore,1,2144
35,108129,Stayed,1/26/2017,1/28/2017,1,232,7093,1500,1/22/2017,Bangalore,2,7093
36,78914,Stayed,1/27/2017,1/28/2017,1,232,2903,614,1/26/2017,Bangalore,1,2903
37,24582,Stayed,1/22/2017,1/23/2017,1,232,3271,831,1/22/2017,Bangalore,1,3271
38,164024,Stayed,1/20/2017,1/22/2017,1,232,6482,1372,1/16/2017,Bangalore,2,6482
39,17344,Stayed,1/13/2017,1/16/2017,1,232,9676,2047,1/9/2017,Bangalore,3,9676
40,171463,Cancelled,1/7/2017,1/8/2017,1,232,3227,820,1/7/2017,Bangalore,1,3227
41,71382,Stayed,1/3/2017,1/5/2017,1,232,3510,891,1/2/2017,Bangalore,2,3510
42,190191,Stayed,1/21/2017,1/22/2017,1,195,2924,743,1/20/2017,Bangalore,1,2924
43,148274,Stayed,1/21/2017,1/22/2017,1,195,2534,536,1/21/2017,Bangalore,1,2534
44,89928,Stayed,1/31/2017,2/1/2017,1,401,2209,468,1/28/2017,Bangalore,1,2209
45,192162,Stayed,1/13/2017,1/14/2017,1,152,1949,413,1/10/2017,Bangalore,1,1949
46,46140,Stayed,1/14/2017,1/15/2017,1,194,2404,508,1/14/2017,Bangalore,1,2404
47,156920,Stayed,1/5/2017,1/6/2017,1,684,2794,710,1/5/2017,Bangalore,1,2794
48,59454,Stayed,1/4/2017,1/5/2017,1,160,2924,767,1/4/2017,Bangalore,1,2924
49,78645,Stayed,2/9/2017,2/11/2017,1,486,4352,921,1/26/2017,Bangalore,2,4352
50,6014,Stayed,2/1/2017,2/4/2017,1,486,7016,1484,1/27/2017,Bangalore,3,7016
51,70892,Stayed,1/31/2017,2/2/2017,1,486,4872,1071,1/25/2017,Bangalore,2,4872
52,92309,Stayed,1/22/2017,1/24/2017,1,486,4287,943,1/18/2017,Bangalore,2,4287
53,130034,Stayed,1/19/2017,1/21/2017,1,486,4157,914,1/18/2017,Bangalore,2,4157
54,138055,Cancelled,1/21/2017,1/22/2017,1,486,2469,523,1/17/2017,Bangalore,1,2469
55,79348,Stayed,1/16/2017,1/18/2017,1,486,4547,963,1/9/2017,Bangalore,2,4547
56,3580,Stayed,1/12/2017,1/14/2017,1,486,4287,943,1/11/2017,Bangalore,2,4287
57,140507,Stayed,1/6/2017,1/7/2017,2,486,5067,1286,1/4/2017,Bangalore,1,2533.5
58,66504,Stayed,1/16/2017,1/17/2017,1,153,2339,594,1/16/2017,Bangalore,1,2339
59,163261,Cancelled,1/16/2017,1/17/2017,1,153,2144,453,1/11/2017,Bangalore,1,2144
60,26179,Stayed,1/9/2017,1/11/2017,2,153,12995,3409,1/3/2017,Bangalore,2,6497.5
